Player,Rk,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year
Anthony Thomas,23.0,CHI,27,RB,51,37,858,3332,21,156,47.0,3.8,64.28,7,2004
Antonio Gibson,19.33,WAS,24,RB,45,30,577,2378,21,137,29.0,4.13,52.67,8,2022
Antonio Pittman,68.5,STL,23,FB,23,5,117,435,0,23,33.5,3.7,18.65,1,2008
Artose Pinner,67.25,MIN,28,RB,40,7,245,812,8,49,16.5,3.33,22.48,1,2006
Baron Batch,119.0,PIT,25,RB,12,0,25,49,1,4,10.0,2.0,4.1,0,2012
Beanie Wells,34.0,ARI,24,RB,51,23,625,2471,24,116,39.75,3.73,46.05,10,2012
Ben Tate,37.0,HOU,25,RB,40,9,421,1992,10,108,47.0,4.67,47.77,10,2013
Benny Snell Jr.,85.0,PIT,24,RB,63,5,275,982,7,54,19.5,3.6,16.72,3,2022
Bernard Pierce,79.0,JAX,24,RB,52,3,359,1345,5,68,34.5,3.38,22.6,1,2015
Bernard Scott,85.5,CIN,28,RB,47,3,255,1035,4,54,33.25,4.25,21.18,2,2012
Bilal Powell,82.25,NYJ,26,RB,47,14,332,1296,6,68,19.5,3.48,23.68,2,2014
Bishop Sankey,59.5,TEN,23,RB,29,12,199,762,3,31,19.0,3.9,25.2,4,2015
Bo Scarbrough,129.5,SEA,26,RB,7,5,95,408,1,16,21.0,4.7,46.9,1,2020
Boston Scott,64.0,PHI,26,RB,43,10,228,992,13,58,34.67,4.33,23.0,7,2021
Brandon Jackson,62.0,GNB,25,RB,52,16,347,1329,7,59,39.5,3.95,24.15,3,2010
Brandon Jacobs,43.5,NYG,26,RB,55,22,555,2620,35,161,31.0,4.25,52.48,11,2008
Brian Calhoun,166.0,DET,23,RB,11,0,14,54,0,2,12.0,3.85,5.75,1,2007
Brian Hill,95.5,ATL,25,RB,45,3,209,982,3,42,40.0,5.03,19.25,3,2020
Brian Leonard,140.75,CIN,26,RB,43,8,124,455,0,25,22.25,4.22,8.47,1,2010
Brian Westbrook,43.0,PHI,26,RB,55,35,496,2235,13,111,40.25,4.5,41.92,6,2005
Brock Forsey,98.0,MIA,24,RB,16,2,69,244,2,14,16.0,3.3,14.4,1,2004
Bruce Perry,136.0,PHI,24,RB,2,1,16,74,0,3,11.0,4.6,37.0,0,2005
Bryce Brown,79.5,SEA,24,RB,42,7,251,1076,7,61,40.5,3.88,24.23,5,2015
C.J. Prosise,174.0,SEA,25,RB,25,2,65,264,2,9,23.5,1.98,10.18,1,2019
C.J. Spiller,38.0,BUF,26,RB,61,31,590,3021,12,117,49.25,4.9,48.83,14,2013
Cadillac Williams,43.75,TAM,26,RB,38,33,632,2417,14,121,39.25,3.8,57.98,9,2008
Cam Akers,88.67,LAR,23,RB,29,14,338,1414,9,71,35.0,3.03,34.5,3,2022
Cameron Artis-Payne,110.0,CAR,28,RB,32,3,118,491,5,24,25.75,4.25,22.27,0,2018
Carlos Hyde,31.0,SFO,27,RB,50,36,655,2729,21,139,39.5,4.15,56.38,9,2017
Cedric Benson,34.5,CIN,26,RB,47,22,634,2340,12,117,38.75,3.77,49.23,6,2008
Cedric Cobbs,160.5,DEN,25,RB,5,0,25,59,0,3,9.0,2.65,10.6,1,2006
Cedric Houston,49.5,NYJ,24,RB,20,5,194,676,7,36,24.0,3.5,36.0,1,2006
Cedric Peerman,195.33,CIN,26,RB,36,1,41,274,1,10,20.0,4.23,6.5,0,2012
Chad Morton,123.0,WAS,26,RB,47,5,88,360,0,16,16.33,3.43,7.8,4,2003
Charles Sims,78.75,TAM,27,RB,47,2,245,958,2,43,30.75,3.77,20.85,6,2017
Chase Edmonds,59.5,ARI,25,RB,57,15,333,1551,9,82,38.0,4.57,28.4,4,2021
Chauncey Washington,262.5,DAL,26,RB,8,0,5,8,0,1,2.5,0.65,0.5,0,2011
Chester Taylor,55.5,BAL,26,RB,62,8,373,1599,4,81,37.0,4.2,25.62,8,2005
Chris Brown,45.0,TEN,25,RB,42,28,541,2295,11,94,34.75,4.1,51.25,12,2006
Chris Carson,31.75,SEA,26,RB,45,44,715,3270,21,192,44.75,4.53,68.25,11,2020
Chris Henry,186.0,TEN,23,RB,8,0,32,122,2,5,13.5,3.4,10.0,0,2008
Chris Johnson,7.0,TEN,26,RB,63,62,1187,5645,38,238,70.25,4.7,89.5,10,2011
Chris Ogbonnaya,130.33,CLE,26,RB,30,5,95,420,1,3,22.33,4.27,17.73,3,2012
Chris Perry,157.67,CIN,25,RB,22,3,73,337,0,20,16.33,3.6,9.97,4,2006
Chris Rainey,117.0,PIT,24,RB,16,0,26,102,2,5,19.0,3.9,6.4,4,2012
Chris Thompson,135.67,WAS,26,RB,31,0,106,584,3,24,24.67,5.13,14.97,4,2016
Christian McCaffrey,34.0,CAR,24,RB,51,45,682,3145,29,146,49.5,4.33,64.38,7,2020
Christine Michael,84.25,2TM,26,RB,37,9,254,1080,7,16,36.25,4.47,26.65,3,2016
Ciatrick Fason,110.0,MIN,24,RB,18,0,50,161,5,18,15.0,3.7,12.3,1,2006
Clinton Portis,9.25,WAS,24,RB,60,56,1258,5930,45,304,58.75,4.78,99.8,16,2005
Clyde Edwards-Helaire,43.0,KAN,23,RB,33,29,371,1622,11,79,33.33,4.33,47.9,2,2022
Correll Buckhalter,37.5,PHI,25,RB,30,11,255,1128,10,61,56.0,4.4,37.6,5,2003
Curtis Keaton,162.67,NOR,26,RB,25,0,23,91,0,4,11.0,5.07,3.63,1,2002
Cyrus Gray,168.67,KAN,25,RB,35,0,24,99,1,5,10.0,4.3,3.1,0,2014
D'Andre Swift,40.33,DET,23,RB,40,16,364,1680,18,80,53.67,4.73,42.1,6,2022
D'Onta Foreman,123.0,TEN,24,RB,17,1,107,421,2,19,18.67,2.8,15.83,3,2020
Da'Rel Scott,168.33,NYG,25,RB,20,1,31,98,0,5,9.67,2.8,6.13,1,2013
Dalvin Cook,26.5,MIN,25,RB,43,42,769,3661,33,189,62.0,4.72,84.17,12,2020
Damien Harris,76.5,NWE,25,RB,38,34,449,2094,20,109,37.0,4.25,44.75,3,2022
Damien Nash,155.0,DEN,24,RB,6,0,24,98,0,4,17.0,4.5,16.35,0,2006
Dan Herron,142.0,2TM,26,RB,35,3,112,468,1,19,21.25,3.9,9.25,3,2015
Daniel Lasco,152.0,NOR,24,RB,7,0,11,32,0,1,6.0,2.9,4.6,0,2016
Daniel Thomas,51.75,MIA,27,RB,52,3,409,1480,10,65,29.5,3.65,28.23,6,2014
Darius Jackson,191.0,2TM,25,RB,4,0,6,16,0,0,4.0,2.7,4.0,0,2018
Darrell Henderson,55.25,LAR,25,RB,50,28,396,1742,13,103,28.5,4.22,34.62,0,2022
Darren McFadden,38.5,OAK,24,RB,45,32,553,2627,16,108,51.25,4.6,61.23,13,2011
Darren Sproles,108.33,SDG,25,RB,46,0,106,544,3,23,30.67,5.37,11.6,7,2008
Darrynton Evans,193.0,CHI,24,RB,12,0,30,125,0,5,11.67,4.0,9.5,0,2022
Darwin Thompson,109.5,KAN,23,RB,26,1,64,225,2,16,13.0,3.55,8.8,0,2020
Daryl Richardson,55.0,STL,23,RB,24,3,167,690,0,34,33.5,3.95,28.3,3,2013
David Cobb,80.0,TEN,22,RB,7,1,52,146,1,6,12.0,2.8,20.9,0,2015
David Johnson,87.6,ARI,27,RB,65,42,689,2787,31,162,33.2,3.3,39.16,15,2018
David Montgomery,12.25,CHI,25,RB,60,51,915,3609,26,205,51.0,3.95,60.58,6,2022
David Williams,176.0,JAX,24,RB,6,0,8,36,0,3,15.0,4.5,6.0,0,2018
David Wilson,77.0,NYG,22,RB,21,6,115,504,5,27,35.0,4.15,25.8,3,2013
De'Angelo Henderson,215.0,NYJ,26,RB,8,0,9,32,0,2,9.0,5.7,4.45,1,2018
De'Anthony Thomas,212.0,KAN,24,RB,50,6,28,180,2,7,16.5,5.8,3.88,3,2017
DeAndre Washington,73.0,OAK,26,RB,55,5,282,1122,7,60,22.5,3.88,19.82,4,2019
DeAngelo Williams,28.0,CAR,26,RB,58,31,754,3850,30,177,63.0,4.95,65.97,5,2009
DeMarco Murray,18.0,DAL,26,RB,53,47,934,4526,28,235,58.25,4.88,82.67,12,2014
DeShaun Foster,43.67,CAR,25,RB,33,10,377,1563,4,74,54.0,4.13,51.0,5,2005
DeShawn Wynn,144.33,GNB,26,RB,16,4,64,332,5,12,41.0,7.03,18.6,1,2009
Dee Brown,46.0,CAR,24,RB,14,3,102,360,4,20,24.0,3.5,25.7,4,2002
DeeJay Dallas,109.67,SEA,24,RB,44,2,102,432,4,28,18.33,4.23,9.83,2,2022
Deji Karim,101.33,HOU,27,RB,30,0,110,341,0,21,14.33,3.67,10.87,5,2013
Delone Carter,78.5,IND,25,RB,26,3,133,499,5,29,31.0,3.75,17.9,4,2012
Derrick Blaylock,92.67,KAN,25,RB,40,5,156,723,10,44,21.67,4.73,19.3,1,2004
Derrick Henry,25.33,TEN,24,RB,47,16,501,2293,22,119,65.33,4.53,48.47,2,2018
Derrick Ward,66.0,NYG,27,RB,22,5,160,725,3,35,28.0,4.15,42.05,2,2007
Derrius Guice,89.0,WAS,22,RB,5,1,42,245,2,9,60.0,5.8,49.0,0,2019
Deuce McAllister,36.0,NOR,26,RB,61,49,961,4194,31,195,65.75,4.67,69.38,16,2004
Devante Mays,211.0,GNB,23,RB,8,0,4,1,0,0,2.0,0.3,0.1,2,2017
Devin Singletary,25.75,BUF,25,RB,61,56,672,3151,16,175,42.0,4.67,52.48,13,2022
Devonta Freeman,26.25,ATL,25,RB,61,43,753,3248,30,202,47.25,4.25,53.78,9,2017
Devontae Booker,108.5,DEN,27,RB,61,6,289,1103,6,55,18.75,4.3,18.32,7,2019
Dexter Williams,246.0,GNB,23,RB,7,0,7,19,0,0,5.0,3.1,2.75,0,2020
Dion Lewis,133.5,PHI,22,RB,24,0,36,171,2,11,18.5,4.85,7.25,1,2012
Domanick Williams,15.67,HOU,25,RB,40,36,770,3195,23,144,46.33,4.13,80.5,10,2005
Donald Brown,42.5,IND,25,RB,50,15,449,1840,11,91,48.25,4.05,36.42,1,2012
Doug Chapman,110.67,MIN,26,RB,26,3,90,317,0,15,17.33,4.23,11.77,2,2003
Doug Martin,20.5,TAM,26,RB,49,49,868,3806,20,174,61.25,4.2,74.85,8,2015
Duke Johnson,64.5,CLE,25,RB,64,10,299,1286,5,73,25.75,4.42,20.12,8,2018
Dwayne Washington,116.25,NOR,25,RB,46,2,145,523,1,21,23.25,4.58,11.62,0,2019
Dwayne Wright,103.0,BUF,24,RB,15,0,29,94,0,6,15.0,3.2,6.3,1,2007
Eddie Lacy,24.25,GNB,26,RB,51,48,788,3435,23,177,41.0,4.47,68.05,8,2016
Eddie Williams,257.0,2TM,24,RB,6,0,2,2,0,0,1.0,1.0,0.3,0,2011
Edwin Baker,178.0,NOR,23,RB,6,2,44,173,2,12,11.0,3.0,28.85,0,2014
Elijah McGuire,52.0,NYJ,24,RB,24,5,180,591,4,29,51.5,3.3,27.1,4,2018
Eno Benjamin,88.5,3TM,23,RB,24,3,111,431,3,18,33.0,3.8,17.0,0,2022
Eric Shelton,157.0,CAR,23,RB,9,0,8,23,0,1,9.0,2.9,2.6,0,2006
Evan Royster,152.0,WAS,26,RB,32,2,81,416,2,25,13.33,3.23,20.07,0,2013
Ezekiel Elliott,3.5,DAL,24,RB,56,56,1169,5405,40,314,41.0,4.6,96.85,15,2019
Felix Jones,50.25,DAL,24,RB,48,16,458,2326,8,107,47.5,5.9,47.77,10,2011
Frank Gore,18.25,SFO,25,RB,59,46,939,4441,22,180,57.0,4.67,74.2,18,2008
Frank Moreau,104.5,JAX,25,RB,14,1,75,206,5,20,18.0,3.05,12.65,3,2001
Garrett Wolfe,138.0,CHI,26,RB,50,0,72,282,1,14,26.5,3.7,6.83,1,2010
